brand,name,price,decimals,currency,price_without_vat,availability,description
BILLOW,Billow XNB100PROS X5-Z8350 2GB 32GB 14.1″ W10 – Portátil,173,"0,81",€,"143,64€ (sin IVA)",,"Billow presenta su nueva gama de Notebooks, el XNB100PROS cuenta con procesador Intel Atom Quad core Z8350 de hasta 1.92Ghz con tecnología 14nm, 64-bit, 2 GB de memoria RAM y pantalla de 14.1 pulgadas. Especialmente diseñado para la ofimática, multimedia, navegación fluida, videoconferencia, etc, cuenta con todo lo necesario para ajustarse exactamente a las necesidades de la vida diaria. Potencia, estilo y eficiencia, todo en uno, con un grosor muy fino de 21 mm. Su sistema operativo es Windows 10, soporta micro SD hasta 128GB, tiene slot de expansión para disco duro SATA, salida LAN RJ-45, su pantalla es de 14.1″ con resolución 1366 x 768, cuenta con una gráfica Intel HD, Wi-Fi 802.11 bgn, Bluetooth V4.0, dos puertos USB 2.0 y uno 3.0, y una batería de gran durabilidad que garantiza 5 horas de uso, todo ello para que disfrutes de este gran dispositivo."
ACER,Acer A315 N3060 4GB 500GB DOS – Portátil,220,0,€,"181,82€ (sin IVA)",,"Ordenador portatil con procesador Intel N3060, 4GB de memoria RAM, disco duro de 500GB y pantalla de 15,6″. No incluye sistema operativo. Potente y económico"
HP,HP STREAM 11-Y000NS N3060 2GB 32GB 11.6″ W10 – Portátil,224,"0,14",€,"185,24€ (sin IVA)",,Procesador Intel Celeron N3060 / 1.6 GHz – Sistema operativo Windows 10 Home 64-bit Edition – 2 GB Memoria RAM – 32 GB eMMC (Suscripción 1 año 1TB OneDrive) Almacenamiento – Pantalla 11.6″ 1366 x 768 (HD) – Gráficos Intel HD Graphics 400 – 802.11a/b/g/n/ac – Bluetooth 4.2 – color azul aqua
LENOVO,Lenovo V110 N3350 4GB 500GB DOS 15.6″ – Portátil,235,0,€,"194,22€ (sin IVA)",,"Disfruta al máximo de su procesador Intel N3350, alucina con sus 4GB de RAM y con sus 500GB de almacenamiento para guardar todos tus trabajos, vídeos y fotografías. El Lenovo V110 tiene una pantalla de 15.6″HD, la cual entrega imágenes brillantes y nítidas en formato de pantalla ancha de 16:9. También viene con tecnología antirreflejo que ayuda a reducir el riesgo de fatiga ocular. Este modelo no incluye sistema operativo. J151"
ASUS,ASUS A540NA-GQ058 N3350 4GB 500GB DOS – Portátil,235,0,€,"194,22€ (sin IVA)",,"ASUS A540NA GQ058 – Celeron N3350 / 1.1 GHz – Endless OS – 4 GB RAM – 500 GB HDD – 15.6″ 1366 x 768 (HD) – HD Graphics 500 – 802.11ac, Bluetooth – IMR negro chocolate (tapa de LCD), IMR dorado (parte superior) J151"
ACER,Acer TMB117M N3160 4GB 64GB 11.6″ W10Pro EDU – Portátil,240,"0,51",€,"198,77€ (sin IVA)",,"Intel® N3160, 4GB RAM DDR, 64GB EMMC, 11.6″ LED HD, Intel HD Graphics 620,  Windows 10 Pro"
LENOVO,Lenovo V110 N3350 4GB 500GB W10 15.6″ – Portátil,249,0,€,"205,79€ (sin IVA)",,"Disfruta al máximo de su procesador Intel N3350, alucina con sus 4GB de RAM y con sus 500GB de almacenamiento para guardar todos tus trabajos, vídeos y fotografías. El Lenovo V110 tiene una pantalla de 15.6″HD, la cual entrega imágenes brillantes y nítidas en formato de pantalla ancha de 16:9. También viene con tecnología antirreflejo que ayuda a reducir el riesgo de fatiga ocular. Este modelo incluye el sistema operativo Windows 10."
LENOVO,Lenovo IdeaPad 110-15 N3060 4GB 500GB W10 – Portátil,266,"0,62",€,"220,34€ (sin IVA)",Sólo queda 1 unidad,Procesador Intel Celeron N3060 / 2.48 GHz – Sistema operativo Windows 10 Home 64 bits – 4 GB DDR3L Memoria RAM – 500 GB HDD Almacenamiento – DVD Supermulti – Pantalla 15.6″ 1366×768 (HD) – Gráficos Intel HD Graphics 400 – Bluetooth 4.0 – 802.11ac – color negro
LENOVO,Lenovo 110-14IBR N3060 4GB 500GB W10 14″ – Portátil,279,0,€,"230,58€ (sin IVA)",,"Disfruta al máximo de su procesador Intel N3060, alucina con sus 4GB de RAM y con sus 500GB de almacenamiento para guardar todos tus trabajos, vídeos y fotografías. El Lenovo 110 tiene una pantalla de 14.1? HD, la cual entrega imágenes brillantes y nítidas en formato de pantalla ancha de 16:9. Este modelo incluye sistema operativo Windows 10"
ASUS,Asus P541NA GQ480T N3350 4GB 500GB W10 – Portátil,285,"0,74",€,"236,15€ (sin IVA)",Sólo queda 1 unidad,"Te presentamos el portátil de ASUS , VivoBook Max P541NA-GQ480T Con el Procesador de Intel N3350 podrás completas todas tus tareas a tiempo , gracias a sus 4GB de memoria ram podrás tener una experiencia inigualable en la navegación por paginas web y uso ofimatico , Guarda todos tus datos en su disco de gran capacidad de 500GB y visualiza mejor que nunca todo en la nueva pantalla de 15.6″ , este magnifico ordenador portátil lleva instalado el sistema operativo Windows 10. Color negro chocolate"
ASUS,ASUS A541NA-GQ262T N3350 4GB 500GB W10 – Portátil,287,"0,21",€,"237,36€ (sin IVA)",,"Te presentamos la serie ASUS A541 es alimentado por los procesadores Intel® para darle un rendimiento informático suave y sensible. Con un controlador de memoria a bordo avanzada y Windows 10, A541 es una plataforma ideal de computación diaria"
ACER,Acer TMB117M N3160 4GB 128GB 11.6″ W10Pro EDU – Portátil,295,0,€,"243,81€ (sin IVA)",,"El portátil Acer Educat TMB117 (NX.VCGEB.020) es la herramienta perfecta para el colegio y el instituto. Provisto de la estabilidad de los procesadores Intel , este compacto dispositivo es perfecto para realizar tareas del día a día como navegar, editar documentos o disfrutar de contenido multimedia. Gracias a sus 4GB de ram y a su almacenamiento de 128GB en formato SSD podras abrir cualquier aplicacion a una velocidad increible. Cuenta con una fantástica pantalla HD+, a través de la cual visualizar los contenidos nítidamente, y con sistema operativo Windows 10 Pro Education. Además, gracias a sus reducidas dimensiones, puede transportarse cómodamente para usarlo tanto en casa como en cualquier lugar."
HP,HP 15-BS001NS N3060 4GB 500GB W10 – Portátil,299,0,€,"247,11€ (sin IVA)",,"Realiza todas las tareas diarias con éxito utilizando el elegante portátil HP 15-BS001NS creado para mantenerte conectado, así como para llevar a cabo tus actividades habituales. Con un rendimiento fiable y una batería de larga duración puedes navegar, transmitir datos y mantenerte en contacto con lo que más te preocupa de forma sencilla. J151"
ASUS,ASUS X541NA-GQ266T N3350 4GB 128GB W10 – Portátil,307,"0,34",€,"254,00€ (sin IVA)",Sólo queda 1 unidad,"ASUS X541NA-GQ266T. Tipo de producto: Portátil, Factor de forma: Concha. Familia de procesador: Intel Celeron, Modelo del procesador: N3350, Frecuencia del procesador: 1,10 GHz. Diagonal de la pantalla: 39,6 cm (15.6″), Tipo HD: HD, Resolución de la pantalla: 1366 x 768 Pixeles. Memoria interna: 4 GB, Tipo de memoria interna: DDR3L-SDRAM. Capacidad total de almacenaje: 128 GB, Unidad de almacenamiento: SSD. Tipo de unidad óptica: DVD Súper Multa. Adaptador gráfico en tablero. Sistema operativo instalado: Windows 10 Home"
HP,HP 15-BS092NS N3060 8GB 500GB W10 – Portátil,319,0,€,"263,64€ (sin IVA)",,"Te presentamos el portátil de HP de la serie 15-BS, con un procesador intel N3060 a 2.4 GHz con el que podras completar todas las tareas rapidamente. Almacena tus datos y abre aplicaciones como nunca con el disco duro de 500GB y 8GB de memoria RAM. Disfruta de la fluidez de un sistema operativo magnifico como es Windows 10. Con una pantalla de 15.6″ y un peso de 2KG podras llevartelo a cualquier lugar. J151"
LENOVO,Lenovo V110 i3 6006U 4GB 500GB DOS 15.6″ – Portátil,329,0,€,"271,90€ (sin IVA)",Sólo quedan 2 unidades,"Disfruta al máximo de su procesador de 6ª Generación Intel i3-6006U, alucina con sus 4GB de RAM y con sus 500GB de almacenamiento para guardar todos tus trabajos, vídeos y fotografías. El Lenovo V110 tiene una pantalla de 15.6″HD, la cual entrega imágenes brillantes y nítidas en formato de pantalla ancha de 16:9. También viene con tecnología antirreflejo que ayuda a reducir el riesgo de fatiga ocular."
HP,HP 250 G5 i3 5005 4GB 128GB W10 – Portátil,335,"0,38",€,"277,17€ (sin IVA)",Sólo queda 1 unidad,"Realiza todas las tareas diarias con éxito utilizando un portátil elegante creado para mantenerte conectado, así como"
LENOVO,Lenovo V110 i3 6006 4GB 500GB W10 15.6″ – Portátil,364,"0,45",€,"301,19€ (sin IVA)",,"Disfruta al máximo de su procesador de 6ª Generación Intel i3-6006U, alucina con sus 4GB de RAM y con sus 500GB de almacenamiento para guardar todos tus trabajos, vídeos y fotografías. El Lenovo V110 tiene una pantalla de 15.6″HD, la cual entrega imágenes brillantes y nítidas en formato de pantalla ancha de 16:9. También viene con tecnología antirreflejo que ayuda a reducir el riesgo de fatiga ocular. Este modelo incluye el sistema operativo Windows 10."
