brand,name,price,decimals,currency,price_without_vat,availability,description
MEIZU,Meizu M5C 5″ 2GB 16GB Azul – Smartphone,79,0,€,"65,29€ (sin IVA)",Sólo quedan 2 unidades,"Smartphone Meizu M5c con 2GB de RAM, pantalla de 5.0″ y 16GB de ROM Azul"
XIAOMI,XIAOMI REDMI 6A 2GB 16GB Dorado – Smartphone,115,0,€,"95,04€ (sin IVA)",Sólo queda 1 unidad,"Xiaomi Redmi 6A, el rey de la gama baja. Trabaja y juega con facilidad. No importa cómo uses tu smartphone, los 2,0 GHz del nuevo procesador de 12nm del Xiaomi Redmi 6A garantizan una respuesta inmediata, y al estar optimizado para usarse con MIUI 9, mantiene el rendimiento como nuevo incluso después de un uso exigente. J151"
MEIZU,Meizu M5 Note 5.5″ 3GB 16GB Gris – Smartphone,122,"0,33",€,"101,10€ (sin IVA)",,"Smartphone – Mediatek MT6755 Helio P10 / Octa-core (4×1.8 GHz Cortex-A53 & 4×1.0 GHz Cortex-A53) – GPU Mali-T860MP2 – Android 6.0 Marshmallow – 3 GB Memoria RAM – 16 GB Almacenamiento – Pantalla 5.5″ IPS 1920×1080 (FullHD) – cámara 13MP (frontal 5MP) – 4000mAh – 4G LTE – GPS, GLONASS – Bluetooth 4.0 – 802.11a/b/g/n – color gris"
MEIZU,Meizu M5 Note 5.5″ 3GB 16GB Plata – Smartphone,122,"0,33",€,"101,10€ (sin IVA)",Sólo queda 1 unidad,"Smartphone – Mediatek MT6755 Helio P10 / Octa-core (4×1.8 GHz Cortex-A53 & 4×1.0 GHz Cortex-A53) – GPU Mali-T860MP2 – Android 6.0 Marshmallow – 3 GB Memoria RAM – 16 GB Almacenamiento – Pantalla 5.5″ IPS 1920×1080 (FullHD) – cámara 13MP (frontal 5MP) – 4000mAh – 4G LTE – GPS, GLONASS – Bluetooth 4.0 – 802.11a/b/g/n – color plata"
XIAOMI,XIAOMI REDMI 6 3GB 32GB Negro – Smartphone,127,"0,58",€,"105,44€ (sin IVA)",,"Xiaomi Redmi 6, el rey de la gama baja ahora con cámara dual. Haz fotos sorprendentemente claras con la cámara dual de 12 + 5 MP. Los grandes píxeles de 1,25 um de la cámara principal capturan la belleza de cualquier escena, mientras que el modo retrato con modo belleza e IA desenfoca el fondo para crear retratos increíbles. Además, con el Modo retrato con IA el desenfoque del fondo logra fotos sorprendentes"
MEIZU,Meizu M5 5.2″ 2GB 16GB Negro – Smartphone,128,"0,06",€,"105,83€ (sin IVA)",,Smartphone – Mediatek MT6750 / Cortex-A53 / 1.5 GHz – GPU Mali-T860MPS – Android 6.0 Marshmallow – Pantalla 5.2″ IPS 720×1280 (HD) – 282ppi – 2 GB RAM – 16 GB Almacenamiento – cámara 13MP (frontal 5MP) – 3070mAh – Wi-Fi 802.11 a/b/g/n – color negro
MOTOROLA,Motorola Moto E3 Blanco – Smartphone,130,"0,33",€,"107,71€ (sin IVA)",,Motorola Moto E 3ra generación – Quad-Core / 1.0 GHz – IPS 5″ HD (1280×720) Corning Gorilla Glass 3 – 8 GB – 1 GB RAM – Cámaras 8MP/5MP – Android 6.0 Marshmallow – Bluetooth – Radio FM – WiFi – blanco
MEIZU,Meizu M5 Note 5.5″ 3GB 32GB Gris – Smartphone,140,"0,56",€,"116,16€ (sin IVA)",Pendiente de reposición,"Smartphone – Mediatek MT6755 Helio P10 / Octa-core (4×1.8 GHz Cortex-A53 & 4×1.0 GHz Cortex-A53) – GPU Mali-T860MP2 – Android 6.0 Marshmallow – 3 GB Memoria RAM – 32 GB Almacenamiento – Pantalla 5.5″ IPS 1920×1080 (FullHD) – cámara 13MP (frontal 5MP) – 4000mAh – 4G LTE – GPS, GLONASS – Bluetooth 4.0 – 802.11a/b/g/n – color gris"
XIAOMI,Xiaomi REDMI NOTE 5A PRIME 5.5″ 3GB 32GB Dorado – Smartphone,144,"0,07",€,"119,07€ (sin IVA)",Sólo queda 1 unidad,"Luz LED para Selfie | Sensor de huella digital | Ranura microSD , Procesador Snapdragon 435 octa-core. Cámara frontal de 16MP para selfies para conseguir retratos reales y nítidos, junto a Belleza 3.0, para realzar tu belleza natural y conservar tus detalles faciales en cada foto. El Redmi Note 5A Prime te permite ver y hacer más, gracias a su gran pantalla HD de 5.5″. Es el dispositivo perfecto para ver contenido multimedia pues se adapta cómodamente en una mano. El Redmi Note 5A Prime está optimizado con una batería de mayor duración. Alimentado por una batería de gran capacidad de 3080mAh y unido a las mejoras de sistema de MIUI, te ofrece hasta 10 horas de reproducción de video, 12 horas de juego y 12 horas de lectura"
BQ,BQ Aquaris U2 Lite 5.2″ 2GB 16GB Blanco/Oro – Smartphone,149,0,€,"123,14€ (sin IVA)",Sólo queda 1 unidad,"La pantalla de tu móvil es la ventana a tu contenido favorito: redes, series, fotos…. La de Aquaris U2 Lite te sorprenderá con su acabado 2,5D, sus bordes reducidos a la mínima expresión y sus 5,2” en las que los píxeles lucen como nunca. Y todo, en una pantalla todoterreno gracias a su cristal protector de altísima resistencia. Pocos smartphones pueden presumir de una autonomía como la del Aquaris U2 Lite. Gracias a su batería LiPo de 3100 mAh y a una meticulosa selección de componentes de bajo consumo, sacarás todo el partido a tu Aquaris U2 Lite sin tener que cargarlo constantemente. Y con su carga rápida Qualcomm® Quick Charge™ 3.0, pasará de 0 a 100% de almacenamiento energético en un abrir y cerrar de ojos. Haz que tus selfies brillen con luz propia gracias al flash frontal integrado, que da el toque de iluminación que necesitas para salir bien incluso de noche. El modo Face Beauty hará el resto: detecta las caras y suaviza los rasgos para que desaparezcan las pequeñas imperfecciones. Y con su cámara trasera con 8 MP y enfoque ultrarrápido, captarás tus momentos más especiales de forma ágil y nítida. Con el procesador Qualcomm® Snapdragon™ 425 y sus cuatro núcleos a 1,4 GHz, exprime tu contenido multimedia, chatea, navega por tus redes a toda velocidad o disfruta de todas las novedades que Android 8 Oreo traerá a tu Aquaris U2 Lite. Aquaris U2 Lite incorpora la última tecnología en conectividad. Con LTE Global, Wi-Fi® dual (2,4 GHz y 5 GHz) para conexiones más rápidas, Bluetooth 4.2, 4G y Micro USB OTG, no echarás nada de menos. Percibe toda la riqueza y los matices del sonido gracias al amplificador inteligente integrado en el altavoz y al códec Bluetooth® aptX™ , que te permite exprimir al máximo la calidad del sonido en tus auriculares o altavoces inalámbricos. J151"
